gene_name,module,kME
C12orf4,OPC-M27,0.083369679
UBE2K,OPC-M27,0.110541829
SUPT7L,OPC-M27,0.114968651
BIN3,OPC-M14,0.115935408
BRD4,OPC-M14,0.123250472
AL139317.5,OPC-M14,0.124762805
RABEPK,OPC-M27,0.1266976
EPC1,OPC-M27,0.127438899
TMEM176A,OPC-M5,0.127952447
CCDC25,OPC-M5,0.12855368
PSMD3,OPC-M5,0.130131865
ADCY3,OPC-M5,0.1306597
SGSM2,OPC-M5,0.131652688
MAP1LC3B2,OPC-M14,0.132004627
UNG,OPC-M14,0.133296548
PDE6B,OPC-M27,0.133708954
IGDCC3,OPC-M14,0.134174848
PRPF3,OPC-M14,0.13642873
MAP1LC3A,OPC-M5,0.138397289
IL3RA,OPC-M5,0.140700198
GOLT1B,OPC-M27,0.141256683
IFI27L1,OPC-M5,0.141276628
USP5,OPC-M27,0.145303023
ZNF771,OPC-M27,0.145647624
LINC00499,OPC-M14,0.150664613
TUFM,OPC-M6,0.151907393
CRYAB,OPC-M16,0.151937732
CERS4,OPC-M5,0.152698952
BMS1,OPC-M14,0.1527752
B3GALT5,OPC-M16,0.154214099
ZNF285,OPC-M6,0.15435121
IFT122,OPC-M16,0.154843055
CAND1,OPC-M27,0.154996194
FAIM,OPC-M14,0.15529279
VAV2,OPC-M5,0.157224011
AC104088.1,OPC-M16,0.157955607
UNKL,OPC-M5,0.158644073
DNAH7,OPC-M14,0.160643932
HLCS,OPC-M27,0.161092361
AC245187.2,OPC-M6,0.161444505
PWWP2A,OPC-M16,0.162589398
CRIP2,OPC-M16,0.16275398
ENDOD1,OPC-M6,0.162970368
ZNF568,OPC-M16,0.16341776
C11orf80,OPC-M16,0.16373208
RERG,OPC-M5,0.163743374
SPEF2,OPC-M6,0.16507612
SLC22A5,OPC-M16,0.165607852
CSPP1,OPC-M9,0.165836277
GATD1,OPC-M14,0.165872582
ATPAF1,OPC-M6,0.166375755
MRPL38,OPC-M9,0.166704276
ZDHHC17,OPC-M9,0.167066373
FGFR3,OPC-M26,0.167696965
CKMT2-AS1,OPC-M6,0.168444628
OPA1,OPC-M9,0.168460269
FAM199X,OPC-M27,0.170595338
DDX24,OPC-M5,0.170891004
TXNL4B,OPC-M16,0.170923149
PHF1,OPC-M27,0.171024134
ANKRD12,OPC-M9,0.171743045
RIMBP2,OPC-M6,0.171834119
TOM1L2,OPC-M6,0.172091998
SEPTIN11,OPC-M6,0.172181651
BPHL,OPC-M9,0.172255449
APBB1,OPC-M5,0.17289735
ZFAND1,OPC-M9,0.173399684
CASTOR2,OPC-M6,0.173609751
DGLUCY,OPC-M16,0.173815507
FBXL2,OPC-M26,0.173928071
ZNF432,OPC-M16,0.173952624
PRKAB2,OPC-M6,0.174059769
PFKL,OPC-M5,0.174178506
VCL,OPC-M9,0.174915492
ZNF274,OPC-M14,0.175669948
PFKM,OPC-M16,0.175694825
MCPH1-AS1,OPC-M27,0.176120572
TSC1,OPC-M5,0.176262656
KIF3A,OPC-M6,0.176573298
PI4KA,OPC-M6,0.177245718
MRPL41,OPC-M16,0.179016783
IGFBP7-AS1,OPC-M9,0.179238839
APOOL,OPC-M27,0.179450833
ETFRF1,OPC-M6,0.179781768
SAP30BP,OPC-M27,0.179882656
SLC25A18,OPC-M16,0.180100316
DLG4,OPC-M14,0.181496098
POU2F1,OPC-M26,0.182485088
PCYOX1,OPC-M6,0.18356981
THRA,OPC-M23,0.184644334
SRP9,OPC-M9,0.185126386
DYNC1I1,OPC-M6,0.185236586
CNIH3,OPC-M16,0.18566077
LINC02755,OPC-M23,0.185835671
RAB30,OPC-M9,0.185918281
RILPL1,OPC-M16,0.186120857
IRF9,OPC-M15,0.186210365
FAM174B,OPC-M23,0.187004329
ARID1B,OPC-M27,0.187647518
CTNNAL1,OPC-M9,0.187698246
