Sr_No,Pathway,Pval,adjPval,qval,FC
1,AMIT_EGF_RESPONSE_480_HELA,2.82E-79,1.32E-75,8.653276889,-14.61836701
2,AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP,2.82E-79,1.32E-75,8.653276889,-12.68653116
3,BOUDOUKHA_BOUND_BY_IGF2BP2,2.82E-79,1.32E-75,8.653276889,-7.015554888
4,BROWNE_HCMV_INFECTION_24HR_DN,2.82E-79,1.32E-75,8.653276889,-12.9302837
5,BURTON_ADIPOGENESIS_PEAK_AT_0HR,2.82E-79,1.32E-75,8.653276889,-5.761739745
6,CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,2.82E-79,1.32E-75,8.653276889,-37.95595603
7,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,2.82E-79,1.32E-75,8.653276889,-44.99784954
8,CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP,2.82E-79,1.32E-75,8.653276889,-18.86006452
9,CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5,2.82E-79,1.32E-75,8.653276889,-35.66119394
10,DARWICHE_SKIN_TUMOR_PROMOTER_UP,2.82E-79,1.32E-75,8.653276889,-5.55181232
11,DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP,2.82E-79,1.32E-75,8.653276889,-6.120108955
12,DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,2.82E-79,1.32E-75,8.653276889,-9.005995578
13,DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,2.82E-79,1.32E-75,8.653276889,-50.75444077
14,ENK_UV_RESPONSE_EPIDERMIS_DN,2.82E-79,1.32E-75,8.653276889,-31.78001582
15,FOROUTAN_PRODRANK_TGFB_EMT_UP,2.82E-79,1.32E-75,8.653276889,-29.75687777
16,FOROUTAN_TGFB_EMT_UP,2.82E-79,1.32E-75,8.653276889,-29.76767688
17,GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN,2.82E-79,1.32E-75,8.653276889,-11.10266599
18,HAN_SATB1_TARGETS_DN,2.82E-79,1.32E-75,8.653276889,-21.97042091
19,HAN_SATB1_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-29.18463183
20,HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN,2.82E-79,1.32E-75,8.653276889,-13.88895422
21,HORIUCHI_WTAP_TARGETS_DN,2.82E-79,1.32E-75,8.653276889,-6.05003275
22,HUANG_GATA2_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-12.9267716
23,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN,2.82E-79,1.32E-75,8.653276889,-8.944473193
24,KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN,2.82E-79,1.32E-75,8.653276889,-35.70261018
25,KUMAR_TARGETS_OF_MLL_AF9_FUSION,2.82E-79,1.32E-75,8.653276889,-11.34957602
26,LANDIS_ERBB2_BREAST_TUMORS_324_DN,2.82E-79,1.32E-75,8.653276889,-9.126546653
27,LEE_LIVER_CANCER_SURVIVAL_DN,2.82E-79,1.32E-75,8.653276889,-3.799270854
28,LEI_MYB_TARGETS,2.82E-79,1.32E-75,8.653276889,-35.45328381
29,LIM_MAMMARY_STEM_CELL_UP,2.82E-79,1.32E-75,8.653276889,-33.13344057
30,LIU_PROSTATE_CANCER_DN,2.82E-79,1.32E-75,8.653276889,-39.09971581
31,LI_AMPLIFIED_IN_LUNG_CANCER,2.82E-79,1.32E-75,8.653276889,1.776075514
32,LI_INDUCED_T_TO_NATURAL_KILLER_UP,2.82E-79,1.32E-75,8.653276889,-19.93885251
33,LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP,2.82E-79,1.32E-75,8.653276889,-16.67710589
34,MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,2.82E-79,1.32E-75,8.653276889,-14.43929687
35,MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-28.32705049
36,MIKKELSEN_NPC_ICP_WITH_H3K4ME3,2.82E-79,1.32E-75,8.653276889,-17.33337055
37,MILI_PSEUDOPODIA_CHEMOTAXIS_DN,2.82E-79,1.32E-75,8.653276889,-39.5330992
38,MITSIADES_RESPONSE_TO_APLIDIN_UP,2.82E-79,1.32E-75,8.653276889,-24.55393743
39,NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP,2.82E-79,1.32E-75,8.653276889,-28.05836326
40,ODONNELL_TFRC_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-16.52715328
41,OSMAN_BLADDER_CANCER_DN,2.82E-79,1.32E-75,8.653276889,6.172119891
42,PHONG_TNF_RESPONSE_NOT_VIA_P38,2.82E-79,1.32E-75,8.653276889,-19.41194839
43,REACTOME_SIGNALING_BY_MET,2.82E-79,1.32E-75,8.653276889,-4.987778824
44,RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN,2.82E-79,1.32E-75,8.653276889,-39.1272246
45,RODWELL_AGING_KIDNEY_NO_BLOOD_UP,2.82E-79,1.32E-75,8.653276889,-14.09205408
46,RODWELL_AGING_KIDNEY_UP,2.82E-79,1.32E-75,8.653276889,-21.85003455
47,ROZANOV_MMP14_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-22.77927146
48,RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP,2.82E-79,1.32E-75,8.653276889,-25.39618467
49,RUTELLA_RESPONSE_TO_HGF_DN,2.82E-79,1.32E-75,8.653276889,-10.29491696
50,RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP,2.82E-79,1.32E-75,8.653276889,-29.12794375
51,SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP,2.82E-79,1.32E-75,8.653276889,-29.09264153
52,SENESE_HDAC2_TARGETS_DN,2.82E-79,1.32E-75,8.653276889,-12.03646704
53,SENESE_HDAC3_TARGETS_DN,2.82E-79,1.32E-75,8.653276889,-24.6287165
54,SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,2.82E-79,1.32E-75,8.653276889,-3.3797512
55,SWEET_KRAS_TARGETS_UP,2.82E-79,1.32E-75,8.653276889,-21.12587575
56,TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,2.82E-79,1.32E-75,8.653276889,-16.50922391
57,VECCHI_GASTRIC_CANCER_EARLY_UP,2.82E-79,1.32E-75,8.653276889,-10.96284369
58,VERHAAK_AML_WITH_NPM1_MUTATED_DN,2.82E-79,1.32E-75,8.653276889,-11.05122979
59,VERRECCHIA_EARLY_RESPONSE_TO_TGFB1,2.82E-79,1.32E-75,8.653276889,-11.32293028
60,WANG_SMARCE1_TARGETS_DN,2.82E-79,1.32E-75,8.653276889,-19.235123
61,WINTER_HYPOXIA_METAGENE,2.82E-79,1.32E-75,8.653276889,-11.46991064
62,WP_IL18_SIGNALING_PATHWAY,2.82E-79,1.32E-75,8.653276889,-19.70268054
63,WP_NUCLEAR_RECEPTORS_METAPATHWAY,2.82E-79,1.32E-75,8.653276889,-10.80679321
64,YAGI_AML_WITH_INV_16_TRANSLOCATION,2.82E-79,1.32E-75,8.653276889,-11.8282444
65,ZHENG_BOUND_BY_FOXP3,2.82E-79,1.32E-75,8.653276889,-19.14435035
66,ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,2.82E-79,1.32E-75,8.653276889,-22.51280333
67,ALONSO_METASTASIS_UP,2.05E-78,9.60E-75,8.603345763,-18.80935597
68,CROONQUIST_STROMAL_STIMULATION_UP,2.05E-78,9.60E-75,8.603345763,-9.980549531
69,DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2,2.05E-78,9.60E-75,8.603345763,-2.266655478
70,DARWICHE_PAPILLOMA_RISK_LOW_DN,2.05E-78,9.60E-75,8.603345763,-8.223439512
71,ENK_UV_RESPONSE_EPIDERMIS_UP,2.05E-78,9.60E-75,8.603345763,-17.75109562
72,FOROUTAN_INTEGRATED_TGFB_EMT_UP,2.05E-78,9.60E-75,8.603345763,-20.21399587
73,GRUETZMANN_PANCREATIC_CANCER_UP,2.05E-78,9.60E-75,8.603345763,-40.88485487
74,GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN,2.05E-78,9.60E-75,8.603345763,-27.74347163
75,HELLER_HDAC_TARGETS_DN,2.05E-78,9.60E-75,8.603345763,-7.148645912
76,IBRAHIM_NRF1_UP,2.05E-78,9.60E-75,8.603345763,-32.36759052
77,MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN,2.05E-78,9.60E-75,8.603345763,-22.44370991
78,OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP,2.05E-78,9.60E-75,8.603345763,-17.66309826
79,PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7,2.05E-78,9.60E-75,8.603345763,-15.00436308
80,REACTOME_SIGNALING_BY_INTERLEUKINS,2.05E-78,9.60E-75,8.603345763,-33.98393422
81,RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN,2.05E-78,9.60E-75,8.603345763,-18.84693107
82,RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN,2.05E-78,9.60E-75,8.603345763,-28.9922599
83,SENESE_HDAC1_TARGETS_UP,2.05E-78,9.60E-75,8.603345763,-29.31298642
84,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN,2.05E-78,9.60E-75,8.603345763,-9.387215306
85,SWEET_LUNG_CANCER_KRAS_UP,2.05E-78,9.60E-75,8.603345763,-19.49679731
86,TARTE_PLASMA_CELL_VS_PLASMABLAST_DN,2.05E-78,9.60E-75,8.603345763,-22.12795571
87,THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN,2.05E-78,9.60E-75,8.603345763,-19.13675213
88,UEDA_PERIFERAL_CLOCK,2.05E-78,9.60E-75,8.603345763,-12.06948645
89,WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN,2.05E-78,9.60E-75,8.603345763,-7.924634171
90,WP_VEGFAVEGFR2_SIGNALING_PATHWAY,2.05E-78,9.60E-75,8.603345763,-35.40568963
